wk	weight	cum_weight
2016-03-21	1.244063257	152.3465228
2016-03-28	1.244063257	153.5905861
2016-04-04	1.375787602	154.9663737
2016-04-11	1.405059678	156.3714334
2016-04-18	1.434331755	157.8057651
2016-04-25	1.595328177	159.4010933
2016-05-02	1.65387233	161.0549656
2016-05-09	1.668508368	162.723474
2016-05-16	1.74168856	164.4651626
2016-05-23	1.888048943	166.3532115
2016-05-30	1.961229134	168.3144406
2016-06-06	2.034409326	170.34885
2016-06-13	2.049045364	172.3978953
2016-06-20	2.063681403	174.4615767
2016-06-27	2.078317441	176.5398942
2016-07-04	2.049045364	178.5889395
2016-07-11	1.961229134	180.5501687
2016-07-18	2.019773288	182.569942
2016-07-25	2.034409326	184.6043513
2016-08-01	2.034409326	186.6387606
2016-08-08	2.078317441	188.7170781
2016-08-15	2.151497633	190.8685757
2016-08-22	2.166133671	193.0347094
2016-08-29	2.297858016	195.3325674
2016-09-05	2.371038207	197.7036056
2016-09-12	2.341766131	200.0453717
2016-09-19	2.371038207	202.4164099
2016-09-26	2.385674246	204.8020842
2016-10-03	2.312494054	207.1145782
2016-10-10	2.195405748	209.309984
2016-10-17	2.239313863	211.5492978
2016-10-24	2.166133671	213.7154315
2016-10-31	2.049045364	215.7644769
2016-11-07	1.814868751	217.5793456
2016-11-14	1.712416483	219.2917621
2016-11-21	1.507511947	220.7992741
2016-11-28	1.346515525	222.1457896
2016-12-05	1.170883065	223.3166726
2016-12-12	1.097702874	224.4143755
2016-12-19	0.965978529	225.380354
2016-12-26	0.922070414	226.3024245
2017-01-02	0.922070414	227.2244949
2017-01-09	0.951342491	228.1758374
2017-01-16	1.039158721	229.2149961
2017-01-23	1.024522682	230.2395188
2017-01-30	1.068430797	231.3079496
2017-02-06	1.156247027	232.4641966
2017-02-13	1.200155142	233.6643517
2017-02-20	1.21479118	234.8791429
2017-02-27	1.141610989	236.0207539
2017-03-06	1.12697495	237.1477289
2017-03-13	1.068430797	238.2161596
2017-03-20	1.112338912	239.3284986
2017-03-27	1.30260741	240.631106
2017-04-03	1.639236292	242.2703423
2017-04-10	1.785596675	244.0559389
2017-04-17	1.961229134	246.0171681
2017-04-24	2.049045364	248.0662134
2017-05-01	2.122225556	250.188439
2017-05-08	2.107589518	252.2960285
2017-05-15	2.166133671	254.4621622
2017-05-22	2.239313863	256.701476
2017-05-29	2.327130092	259.0286061
2017-06-05	2.312494054	261.3411002
2017-06-12	2.429582361	263.7706826
